"variable","n_missing","pct_missing"
"COM1",0,0
"COM2",0,0
"COM3",0,0
"COM4",0,0
"COM5",0,0
"COM7",0,0
"COM8",0,0
"COM9",0,0
"PS1",0,0
"PS2",0,0
"PS3",0,0
"PS4",0,0
"PS5",0,0
"MO1",0,0
"MO2",0,0
"MO3",0,0
"MO4",0,0
"MO5",0,0
"TP1",0,0
"TP2",0,0
"TP4",0,0
"IT1",0,0
"IT2",0,0
"IT3",0,0
"IT4",0,0
"CEV1",0,0
"CEV2",0,0
"CEV3",0,0
"CEV4",0,0
"CEV5",0,0
"CG1",0,0
"CG2",0,0
"CG3",0,0
"CG4",0,0
"CG5",0,0
"CG6",0,0
"CG7",0,0
"CG8",0,0
"CG9",0,0
"ETH1",0,0
"ETH2",0,0
"ETH3",0,0
"ETH4",0,0
"TC1",0,0
"TC2",0,0
"TC3",0,0
"TC4",0,0
"TC5",0,0
"TC6",0,0
"AJ1",0,0
"AJ2",0,0
"AJ3",0,0
"AQ1",0,0
"AQ2",0,0
"AQ3",0,0
"AQ4",0,0
"AQ5",0,0
"AQ6",0,0
"SUMMARY",0,NA
