"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnueJpppp5UdcCC-xjz3wZmhoDY0y2W0CrIzeWCyMBwzxr_919Gky_VJwM6UZKw",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnufzAfUHRIhZ940Sajos-Liaibs3pZ_22BoUevP2074aQsl2MINJsCoOm4_BUg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,11,0.625143661649984
"2_ABaOnuc022ebL8DQ2OFIimxOX5GXJR-ufNOao42Xc9UY9ari6XP66ySWxmDj7EpbPA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.636887850646619
"2_ABaOnucNYlbAHDHshzoPPI4QqvvFw2bZqm9x090Hh1XQj7NHsQb_mw2Xvuyl4Wzp2A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,37,0.339477553123046
"2_ABaOnucuGP2OZZHZfgqC4dPLOZXxEjm60ZWtfr5CpWWRjThB2zD63DnjiCWJ60Bwlw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,12,0.528669871499079
"2_ABaOnuenRQxM0CB9LWkoWii2SIaFJGq-exKvLlRZZKTGKrQxdgaHnQPmoWzRxHSP2A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.479778634174181
"2_ABaOnucYCCxm7HVI56CvF87B_A4HYRCnwAfVwPCwIAzkWmE4R9iqXT90MM5mvxlBTw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.751888125438914
"2_ABaOnuehIaAj-iB9ofLl0uqcTnOZmfoesY6UnFv-4GHVfF5-JgKaPf2F0T_jMUZJ5Q",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,15,0.441701051064854
"2_ABaOnud2_Pxs15G3NG4b0OzxvKuZ2pI5pAXNY-Ohxv-qpg762HYLyQBBmhHzTCBQ8g",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.656532164298613
"2_ABaOnuehbMtMfezn-skpPFqblZJAE0v1EVHGL9xZ76OQW8vbEy0G1CMseF4yU8oiCA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,14,0.450851181276929
"2_ABaOnuepyoEXHtm-zPVNYBmW242rRLln7Jrk7gDoDEpDVbAZQR1tvrS0ovTBFaiyaA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,14,0.552451501787244
