"","COM1","COM2","COM3","COM4","COM5","COM6","COM7","COM8","COM9","PS1","PS2","PS3","PS4","PS5","MO1","MO2","MO3","MO4","MO5","TP1","TP2","TP4","IT1","IT2","IT3","IT4","CEV1","CEV2","CEV3","CEV4","CEV5","CG1","CG2","CG3","CG4","CG5","CG6","CG7","CG8","CG9","ETH1","ETH2","ETH3","ETH4","TC1","TC2","TC3","TC4","TC5","TC6","AJ1","AJ2","AJ3","AQ1","AQ2","AQ3","AQ4","AQ5","AQ6"
"COM1",1,0.772,0.743,0.575,0.669,0.397,0.42,0.652,0.665,0.712,0.662,0.718,0.716,0.731,0.474,0.4,0.388,0.389,0.383,0.361,0.193,0.471,0.549,0.552,0.543,0.384,0.534,0.541,0.538,0.532,0.479,0.347,0.298,0.392,0.453,0.416,0.269,0.408,0.376,0.468,0.704,0.65,0.629,0.675,0.249,0.211,0.269,0.162,0.205,0.199,0.502,0.565,0.613,0.59,0.572,0.554,0.608,0.601,0.493
"COM2",0.772,1,0.74,0.619,0.691,0.461,0.478,0.596,0.63,0.674,0.67,0.677,0.66,0.638,0.472,0.387,0.409,0.377,0.378,0.298,0.183,0.399,0.489,0.559,0.56,0.425,0.496,0.514,0.511,0.498,0.454,0.368,0.308,0.364,0.407,0.377,0.29,0.407,0.397,0.405,0.591,0.569,0.554,0.566,0.231,0.165,0.279,0.159,0.172,0.155,0.484,0.512,0.556,0.548,0.555,0.546,0.548,0.52,0.498
"COM3",0.743,0.74,1,0.569,0.688,0.403,0.46,0.663,0.622,0.651,0.648,0.664,0.643,0.662,0.501,0.465,0.37,0.411,0.42,0.312,0.224,0.369,0.478,0.501,0.489,0.415,0.465,0.513,0.505,0.519,0.455,0.376,0.37,0.437,0.408,0.415,0.293,0.4,0.449,0.484,0.629,0.63,0.606,0.617,0.254,0.23,0.304,0.234,0.239,0.212,0.516,0.553,0.6,0.542,0.543,0.57,0.599,0.562,0.494
"COM4",0.575,0.619,0.569,1,0.579,0.463,0.477,0.545,0.546,0.574,0.521,0.556,0.503,0.514,0.429,0.4,0.408,0.378,0.39,0.284,0.161,0.376,0.435,0.467,0.453,0.424,0.422,0.415,0.425,0.355,0.38,0.342,0.305,0.351,0.294,0.348,0.275,0.415,0.416,0.371,0.484,0.44,0.496,0.483,0.247,0.179,0.288,0.241,0.224,0.19,0.477,0.476,0.465,0.458,0.458,0.49,0.509,0.467,0.427
"COM5",0.669,0.691,0.688,0.579,1,0.453,0.51,0.602,0.574,0.598,0.592,0.625,0.606,0.621,0.494,0.46,0.432,0.436,0.385,0.274,0.154,0.345,0.427,0.459,0.465,0.377,0.442,0.499,0.442,0.504,0.483,0.372,0.371,0.396,0.372,0.366,0.244,0.439,0.393,0.399,0.532,0.549,0.569,0.576,0.223,0.197,0.288,0.228,0.215,0.171,0.493,0.498,0.498,0.515,0.522,0.522,0.533,0.515,0.484
"COM6",0.397,0.461,0.403,0.463,0.453,1,0.709,0.474,0.372,0.384,0.403,0.386,0.374,0.384,0.372,0.366,0.349,0.361,0.32,0.191,0.175,0.238,0.313,0.342,0.343,0.387,0.312,0.336,0.267,0.317,0.282,0.361,0.34,0.289,0.285,0.333,0.264,0.3,0.282,0.281,0.36,0.323,0.36,0.365,0.237,0.248,0.216,0.202,0.233,0.241,0.37,0.297,0.311,0.343,0.342,0.35,0.347,0.25,0.302
"COM7",0.42,0.478,0.46,0.477,0.51,0.709,1,0.542,0.457,0.429,0.467,0.45,0.435,0.444,0.381,0.438,0.361,0.353,0.428,0.194,0.122,0.265,0.402,0.397,0.376,0.401,0.37,0.392,0.32,0.421,0.415,0.359,0.402,0.392,0.331,0.369,0.235,0.392,0.344,0.387,0.371,0.396,0.443,0.468,0.235,0.169,0.251,0.225,0.237,0.233,0.467,0.394,0.398,0.449,0.461,0.478,0.44,0.392,0.393
"COM8",0.652,0.596,0.663,0.545,0.602,0.474,0.542,1,0.69,0.615,0.628,0.639,0.647,0.672,0.424,0.425,0.407,0.385,0.426,0.284,0.204,0.372,0.498,0.491,0.457,0.38,0.463,0.516,0.471,0.485,0.482,0.375,0.393,0.476,0.421,0.421,0.309,0.463,0.485,0.55,0.584,0.561,0.607,0.611,0.275,0.206,0.286,0.241,0.229,0.234,0.542,0.553,0.571,0.531,0.518,0.516,0.591,0.534,0.47
"COM9",0.665,0.63,0.622,0.546,0.574,0.372,0.457,0.69,1,0.628,0.651,0.661,0.677,0.655,0.362,0.348,0.335,0.335,0.345,0.328,0.147,0.415,0.476,0.521,0.511,0.395,0.428,0.496,0.489,0.482,0.428,0.332,0.325,0.399,0.385,0.328,0.237,0.392,0.371,0.426,0.578,0.594,0.582,0.601,0.251,0.143,0.224,0.163,0.179,0.163,0.519,0.545,0.598,0.495,0.495,0.496,0.569,0.548,0.447
"PS1",0.712,0.674,0.651,0.574,0.598,0.384,0.429,0.615,0.628,1,0.749,0.809,0.728,0.732,0.433,0.338,0.404,0.361,0.405,0.366,0.173,0.45,0.508,0.527,0.493,0.405,0.501,0.497,0.557,0.511,0.466,0.365,0.308,0.382,0.374,0.386,0.287,0.419,0.417,0.462,0.648,0.594,0.594,0.603,0.239,0.208,0.317,0.21,0.235,0.202,0.548,0.566,0.593,0.537,0.48,0.519,0.589,0.554,0.518
