"Variable","Category","N","Pct"
"Giới tính","Nam",197,49.2
"Giới tính","Nữ",203,50.8
"Bằng cấp","Đại học",345,86.2
"Bằng cấp","Trên đại học",55,13.8
"Chứng chỉ hành nghề","Có",169,42.2
"Chứng chỉ hành nghề","Không",231,57.8
"Kinh nghiệm","Trên 10 đến 15 năm",68,17
"Kinh nghiệm","Trên 15 đến 20 năm",57,14.2
"Kinh nghiệm","Trên 20 năm",36,9
"Kinh nghiệm","Trên 5 đến 10 năm",84,21
"Kinh nghiệm","Từ 3 đến 5 năm",155,38.8
"Vị trí","Ban giám đốc",71,17.8
"Vị trí","Kiểm toán viên/Trưởng nhóm",115,28.8
"Vị trí","Trợ lý kiểm toán",156,39
"Vị trí","Trưởng phòng",58,14.5
