"Variable","N","Mean","SD","Min","Max","Skewness","Kurtosis"
"COM1",400,4.645,0.735,1,5,-2.946,10.367
"COM2",400,4.43,0.782,1,5,-1.867,4.829
"COM3",400,4.42,0.787,1,5,-1.885,5.019
"COM4",400,4.197,0.855,1,5,-1.214,1.93
"COM5",400,4.385,0.783,1,5,-1.707,4.276
"COM7",400,3.998,0.874,1,5,-0.628,0.146
"COM8",400,4.43,0.743,1,5,-1.843,5.283
"COM9",400,4.525,0.782,1,5,-2.299,6.617
"PS1",400,4.465,0.752,1,5,-1.961,5.484
"PS2",400,4.513,0.746,1,5,-2.101,6.01
"PS3",400,4.518,0.729,1,5,-2.287,7.579
"PS4",400,4.52,0.775,1,5,-2.272,6.632
"PS5",400,4.5,0.779,1,5,-2.192,6.27
"MO1",400,3.97,0.781,1,5,-0.708,1.255
"MO2",400,3.938,0.784,1,5,-0.61,0.859
"MO3",400,3.835,0.848,1,5,-0.52,0.243
"MO4",400,3.918,0.835,1,5,-0.519,0.156
"MO5",400,3.998,0.851,1,5,-0.535,-0.142
"TP1",400,4.077,0.888,1,5,-0.908,0.715
"TP2",400,3.772,0.913,1,5,-0.529,0.055
"TP4",400,4.343,0.772,1,5,-1.332,2.49
"IT1",400,4.298,0.765,1,5,-1.372,3.128
"IT2",400,4.24,0.761,1,5,-1.257,2.908
"IT3",400,4.253,0.765,1,5,-1.24,2.567
"IT4",400,4.025,0.858,1,5,-0.838,1.049
"CC1",400,4.263,0.8,1,5,-1.305,2.625
"CC2",400,4.355,0.785,1,5,-1.531,3.445
"CC3",400,4.375,0.756,1,5,-1.55,3.736
"CC4",400,4.263,0.778,1,5,-1.297,2.911
"CC5",400,4.258,0.823,1,5,-1.348,2.633
"CG1",400,3.95,0.815,1,5,-0.466,0.004
"CG2",400,3.915,0.777,1,5,-0.495,0.52
"CG3",400,4.08,0.725,1,5,-0.917,2.301
"CG4",400,3.978,0.857,1,5,-0.774,0.949
"CG5",400,3.967,0.839,1,5,-0.707,0.73
"CG6",400,3.648,0.936,1,5,-0.314,-0.298
"CG7",400,3.94,0.789,1,5,-0.6,0.791
"CG8",400,4.005,0.759,1,5,-0.561,0.731
"CG9",400,4.098,0.793,1,5,-0.811,1.108
"ETH1",400,4.575,0.7,1,5,-2.578,9.557
"ETH2",400,4.545,0.699,1,5,-2.237,7.335
"ETH3",400,4.522,0.69,1,5,-1.993,6.113
"ETH4",400,4.513,0.701,1,5,-2.065,6.609
"TC1",400,3.888,0.864,1,5,-0.811,0.958
"TC2",400,3.7,0.945,1,5,-0.588,0.116
"TC3",400,3.8,0.844,1,5,-0.488,0.228
"TC4",400,3.708,0.913,1,5,-0.38,-0.374
"TC5",400,3.688,0.926,1,5,-0.388,-0.263
"TC6",400,3.598,0.955,1,5,-0.263,-0.366
"AJ1",400,4.24,0.72,1,5,-1.002,2.127
"AJ2",400,4.332,0.737,1,5,-1.484,3.963
"AJ3",400,4.412,0.71,1,5,-1.718,5.265
"AQ1",400,4.367,0.724,1,5,-1.444,3.65
"AQ2",400,4.272,0.815,1,5,-1.487,3.217
"AQ3",400,4.36,0.739,1,5,-1.472,3.538
"AQ4",400,4.428,0.739,1,5,-1.846,5.386
"AQ5",400,4.438,0.75,1,5,-1.881,5.28
"AQ6",400,4.205,0.803,1,5,-1.147,2.016
