"Construct","Indicator","Loading"
"COM","COM1",0.861
"COM","COM2",0.794
"COM","COM3",0.854
"COM","COM4",0.724
"COM","COM5",0.762
"COM","COM6",0.498
"COM","COM7",0.642
"COM","COM8",0.852
"COM","COM9",0.851
"MO","MO1",0.785
"MO","MO2",0.811
"MO","MO3",0.768
"MO","MO4",0.77
"MO","MO5",0.76
"CG","CG1",0.647
"CG","CG2",0.642
"CG","CG3",0.834
"CG","CG4",0.732
"CG","CG5",0.725
"CG","CG6",0.596
"CG","CG7",0.869
"CG","CG8",0.828
"CG","CG9",0.909
"ETH","ETH1",0.901
"ETH","ETH2",0.926
"ETH","ETH3",0.934
"ETH","ETH4",0.932
"TC","TC1",0.888
"TC","TC2",0.662
"TC","TC3",0.863
"TC","TC4",0.668
"TC","TC5",0.718
"TC","TC6",0.64
"AQ","AQ1",0.869
"AQ","AQ2",0.76
"AQ","AQ3",0.826
"AQ","AQ4",0.939
"AQ","AQ5",0.872
"AQ","AQ6",0.745
