"Construct","Indicator","Outer_VIF","Status"
"COM","COM1",3.363,"CAUTION"
"COM","COM2",3.381,"CAUTION"
"COM","COM3",3.08,"CAUTION"
"COM","COM4",1.93,"OK"
"COM","COM5",2.484,"OK"
"COM","COM6",2.152,"OK"
"COM","COM7",2.368,"OK"
"COM","COM8",2.621,"OK"
"COM","COM9",2.395,"OK"
"MO","MO1",2.522,"OK"
"MO","MO2",2.487,"OK"
"MO","MO3",1.669,"OK"
"MO","MO4",1.908,"OK"
"MO","MO5",1.536,"OK"
"CG","CG1",2.483,"OK"
"CG","CG2",2.421,"OK"
"CG","CG3",2.52,"OK"
"CG","CG4",2.764,"OK"
"CG","CG5",2.882,"OK"
"CG","CG6",1.737,"OK"
"CG","CG7",2.898,"OK"
"CG","CG8",3.333,"CAUTION"
"CG","CG9",3.25,"CAUTION"
"ETH","ETH1",3.594,"CAUTION"
"ETH","ETH2",4.107,"CAUTION"
"ETH","ETH3",4.872,"CAUTION"
"ETH","ETH4",3.838,"CAUTION"
"TC","TC1",1.898,"OK"
"TC","TC2",2.451,"OK"
"TC","TC3",2.621,"OK"
"TC","TC4",4.053,"CAUTION"
"TC","TC5",4.789,"CAUTION"
"TC","TC6",3.991,"CAUTION"
"AQ","AQ1",2.803,"OK"
"AQ","AQ2",2.532,"OK"
"AQ","AQ3",3.02,"CAUTION"
"AQ","AQ4",3.317,"CAUTION"
"AQ","AQ5",2.809,"OK"
"AQ","AQ6",2.294,"OK"
