"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI","Bootstrap P Val"
"COM  ->  PS",0.893,0.891,0.025,4.222,0.834,0.931,0
"COM  ->  MO",0.736,0.734,0.043,6.151,0.641,0.811,0
"COM  ->  TP",0.472,0.468,0.073,7.214,0.318,0.602,0
"COM  ->  IT",0.691,0.688,0.056,5.525,0.567,0.785,0
"COM  ->  CEV",0.695,0.69,0.067,4.578,0.544,0.803,0
"COM  ->  CG",0.638,0.634,0.06,6.079,0.509,0.741,0
"COM  ->  AJ",0.745,0.742,0.05,5.094,0.634,0.827,0
"COM  ->  TC",0.362,0.361,0.068,9.437,0.228,0.486,0
"COM  ->  ETH",0.793,0.789,0.046,4.471,0.69,0.867,0
"COM  ->  AQ",0.793,0.79,0.045,4.627,0.69,0.864,0
"PS  ->  MO",0.615,0.611,0.057,6.796,0.492,0.714,0
"PS  ->  TP",0.503,0.499,0.071,7.025,0.354,0.63,0
"PS  ->  IT",0.671,0.668,0.059,5.601,0.539,0.769,0
"PS  ->  CEV",0.685,0.68,0.068,4.665,0.529,0.793,0
"PS  ->  CG",0.559,0.554,0.065,6.759,0.414,0.67,0
"PS  ->  AJ",0.753,0.75,0.051,4.872,0.636,0.836,0
"PS  ->  TC",0.329,0.328,0.07,9.558,0.186,0.461,0
"PS  ->  ETH",0.801,0.797,0.047,4.277,0.693,0.875,0
"PS  ->  AQ",0.758,0.753,0.051,4.733,0.639,0.841,0
"MO  ->  TP",0.456,0.453,0.071,7.629,0.31,0.583,0
"MO  ->  IT",0.621,0.617,0.055,6.876,0.501,0.72,0
"MO  ->  CEV",0.742,0.74,0.042,6.101,0.648,0.815,0
"MO  ->  CG",0.662,0.659,0.054,6.307,0.549,0.757,0
"MO  ->  AJ",0.637,0.633,0.054,6.774,0.519,0.729,0
"MO  ->  TC",0.503,0.503,0.053,9.404,0.395,0.602,0
"MO  ->  ETH",0.643,0.639,0.053,6.788,0.528,0.734,0
"MO  ->  AQ",0.66,0.657,0.051,6.61,0.549,0.751,0
"TP  ->  IT",0.546,0.543,0.066,6.871,0.406,0.663,0
"TP  ->  CEV",0.465,0.46,0.073,7.318,0.313,0.597,0
"TP  ->  CG",0.447,0.444,0.069,8.053,0.305,0.571,0
"TP  ->  AJ",0.572,0.569,0.065,6.539,0.434,0.689,0
"TP  ->  TC",0.556,0.556,0.053,8.424,0.446,0.653,0
"TP  ->  ETH",0.555,0.55,0.066,6.739,0.415,0.672,0
"TP  ->  AQ",0.51,0.506,0.071,6.912,0.36,0.637,0
"IT  ->  CEV",0.635,0.631,0.061,5.967,0.498,0.739,0
"IT  ->  CG",0.59,0.586,0.059,6.936,0.462,0.694,0
"IT  ->  AJ",0.679,0.675,0.055,5.823,0.558,0.771,0
"IT  ->  TC",0.374,0.373,0.065,9.617,0.24,0.493,0
"IT  ->  ETH",0.7,0.695,0.052,5.766,0.583,0.787,0
"IT  ->  AQ",0.683,0.679,0.054,5.846,0.563,0.773,0
"CEV  ->  CG",0.765,0.762,0.034,6.829,0.687,0.824,0
"CEV  ->  AJ",0.709,0.705,0.053,5.458,0.589,0.799,0
"CEV  ->  TC",0.38,0.379,0.062,9.989,0.255,0.499,0
"CEV  ->  ETH",0.8,0.796,0.039,5.155,0.71,0.862,0
"CEV  ->  AQ",0.797,0.794,0.041,4.93,0.703,0.865,0
"CG  ->  AJ",0.651,0.647,0.052,6.709,0.537,0.742,0
"CG  ->  TC",0.486,0.484,0.054,9.581,0.377,0.588,0
"CG  ->  ETH",0.658,0.653,0.049,7.008,0.548,0.74,0
"CG  ->  AQ",0.704,0.701,0.045,6.62,0.606,0.78,0
"AJ  ->  TC",0.549,0.548,0.049,9.243,0.448,0.638,0
"AJ  ->  ETH",0.812,0.809,0.037,5.047,0.724,0.871,0
"AJ  ->  AQ",0.868,0.866,0.029,4.574,0.803,0.916,0
"TC  ->  ETH",0.367,0.365,0.068,9.329,0.225,0.49,0
"TC  ->  AQ",0.458,0.458,0.061,8.939,0.331,0.569,0
"ETH  ->  AQ",0.862,0.858,0.031,4.455,0.786,0.91,0
