"","COM","PS","MO","TP","IT","CEV","CG","AJ","TC","ETH","AQ"
"COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PS",0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MO",0.728,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TP",0.475,0.503,0.456,NA,NA,NA,NA,NA,NA,NA,NA
"IT",0.693,0.671,0.621,0.546,NA,NA,NA,NA,NA,NA,NA
"CEV",0.705,0.685,0.742,0.465,0.635,NA,NA,NA,NA,NA,NA
"CG",0.636,0.559,0.662,0.447,0.59,0.765,NA,NA,NA,NA,NA
"AJ",0.758,0.753,0.637,0.572,0.679,0.709,0.651,NA,NA,NA,NA
"TC",0.351,0.329,0.503,0.556,0.374,0.38,0.486,0.549,NA,NA,NA
"ETH",0.807,0.801,0.643,0.555,0.7,0.8,0.658,0.812,0.367,NA,NA
"AQ",0.806,0.758,0.66,0.51,0.683,0.797,0.704,0.868,0.458,0.862,NA
