"Construct","Indicator","Loading","Decision","Reason"
"PS","PS1",0.857,"KEEP","Loading 0.857 >= 0.708"
"PS","PS2",0.848,"KEEP","Loading 0.848 >= 0.708"
"PS","PS3",0.917,"KEEP","Loading 0.917 >= 0.708"
"PS","PS4",0.85,"KEEP","Loading 0.850 >= 0.708"
"PS","PS5",0.889,"KEEP","Loading 0.889 >= 0.708"
"TP","TP1",0.784,"KEEP","Loading 0.784 >= 0.708"
"TP","TP2",0.561,"REVIEW","Loading 0.561 in [0.40, 0.708] — review if removing improves CR/AVE"
"TP","TP4",0.933,"KEEP","Loading 0.933 >= 0.708"
"IT","IT1",0.92,"KEEP","Loading 0.920 >= 0.708"
"IT","IT2",0.916,"KEEP","Loading 0.916 >= 0.708"
"IT","IT3",0.869,"KEEP","Loading 0.869 >= 0.708"
"IT","IT4",0.733,"KEEP","Loading 0.733 >= 0.708"
"CEV","CEV1",0.807,"KEEP","Loading 0.807 >= 0.708"
"CEV","CEV2",0.916,"KEEP","Loading 0.916 >= 0.708"
"CEV","CEV3",0.859,"KEEP","Loading 0.859 >= 0.708"
"CEV","CEV4",0.868,"KEEP","Loading 0.868 >= 0.708"
"CEV","CEV5",0.801,"KEEP","Loading 0.801 >= 0.708"
"AJ","AJ1",0.845,"KEEP","Loading 0.845 >= 0.708"
"AJ","AJ2",0.886,"KEEP","Loading 0.886 >= 0.708"
"AJ","AJ3",0.911,"KEEP","Loading 0.911 >= 0.708"
