"Beta","Boot_Mean","Boot_SE","T_Stat","CI_Low","CI_High","Path","P_Value","Sig_Primary","T_Sig","P_Sig","Mismatch","Notes","Significant"
0.159,0.191805962924384,0.084,1.886,0.027,0.355,"COM  ->  AJ",0.0232,TRUE,FALSE,TRUE,TRUE,"CI vs t/p mismatch; CI used for decision",TRUE
0.249,0.231042027327605,0.089,2.809,0.06,0.41,"PS  ->  AJ",0.0052,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.02,0.0255846622453203,0.046,0.422,-0.064,0.119,"MO  ->  AJ",0.5855,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.146,0.145169912939679,0.051,2.864,0.046,0.247,"TP  ->  AJ",0.006,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.124,0.112134739631012,0.065,1.904,-0.015,0.245,"IT  ->  AJ",0.0776,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.153,0.137143115970623,0.075,2.041,-0.015,0.282,"CEV  ->  AJ",0.0748,FALSE,TRUE,FALSE,TRUE,"CI vs t/p mismatch; CI used for decision",FALSE
0.16,0.17576874610328,0.053,3.026,0.073,0.282,"CG  ->  AJ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.486,0.482568062737168,0.066,7.34,0.358,0.616,"AJ  ->  AQ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.019,0.028826874879615,0.034,0.568,-0.039,0.095,"TC  ->  AQ",0.4019,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.444,0.443060969591809,0.062,7.14,0.316,0.561,"ETH  ->  AQ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
