"Control","DV","Beta","T_Stat","CI_Low","CI_High","Significant"
"Gen_Dummy","AJ",-0.013,-0.391,-0.082,0.048,FALSE
"Gen_Dummy","AQ",-0.031,-1.122,-0.084,0.023,FALSE
"Exp_Ord","AJ",0.067,1.046,-0.051,0.204,FALSE
"Exp_Ord","AQ",0.033,0.65,-0.068,0.129,FALSE
"Pos_Ord","AJ",-0.005,-0.071,-0.139,0.109,FALSE
"Pos_Ord","AQ",-0.043,-0.804,-0.149,0.063,FALSE
"Edu_PostGrad","AJ",-0.001,-0.035,-0.069,0.068,FALSE
"Edu_PostGrad","AQ",-0.032,-1.221,-0.083,0.018,FALSE
"CPA_Dummy","AJ",-0.056,-1.323,-0.137,0.029,FALSE
"CPA_Dummy","AQ",-0.015,-0.478,-0.077,0.048,FALSE
