"Path","Beta_A","Beta_B","Delta_Beta","T_A","T_B","CI_Low_A","CI_High_A","CI_Low_B","CI_High_B","Sig_A","Sig_B","Sign_Stable","Sig_Stable","Robust"
"COM  ->  AJ",0.159,0.166,0.007,1.886,1.956,0.027,0.355,0.033,0.36,TRUE,TRUE,TRUE,TRUE,TRUE
"PS  ->  AJ",0.249,0.252,0.003,2.809,2.786,0.06,0.41,0.064,0.419,TRUE,TRUE,TRUE,TRUE,TRUE
"MO  ->  AJ",0.02,0.03,0.01,0.422,0.622,-0.064,0.119,-0.054,0.131,FALSE,FALSE,TRUE,TRUE,TRUE
"TP  ->  AJ",0.146,0.148,0.001,2.864,2.764,0.046,0.247,0.043,0.253,TRUE,TRUE,TRUE,TRUE,TRUE
"IT  ->  AJ",0.124,0.117,-0.006,1.904,1.788,-0.015,0.245,-0.023,0.236,FALSE,FALSE,TRUE,TRUE,TRUE
"CEV  ->  AJ",0.153,0.142,-0.011,2.041,1.897,-0.015,0.282,-0.021,0.272,FALSE,FALSE,TRUE,TRUE,TRUE
"CG  ->  AJ",0.16,0.159,-0.002,3.026,3.002,0.073,0.282,0.072,0.279,TRUE,TRUE,TRUE,TRUE,TRUE
"AJ  ->  AQ",0.486,0.487,0.001,7.34,7.32,0.358,0.616,0.36,0.62,TRUE,TRUE,TRUE,TRUE,TRUE
"TC  ->  AQ",0.019,0.024,0.005,0.568,0.695,-0.039,0.095,-0.036,0.101,FALSE,FALSE,TRUE,TRUE,TRUE
"ETH  ->  AQ",0.444,0.437,-0.007,7.14,6.943,0.316,0.561,0.307,0.555,TRUE,TRUE,TRUE,TRUE,TRUE
