"Equation","Suspected","Variable","VIF","Flag_3_3","Flag_5_0"
"AJ","COM","COM",8.962,TRUE,TRUE
"AJ","COM","PS",4.257,TRUE,FALSE
"AJ","COM","MO",2.152,FALSE,FALSE
"AJ","COM","TP",1.474,FALSE,FALSE
"AJ","COM","IT",2.122,FALSE,FALSE
"AJ","COM","CEV",2.806,FALSE,FALSE
"AJ","COM","CG",2.339,FALSE,FALSE
"AJ","COM","Gen_Dummy",1.157,FALSE,FALSE
"AJ","COM","Exp_Ord",3.769,TRUE,FALSE
"AJ","COM","Pos_Ord",4.024,TRUE,FALSE
"AJ","COM","Edu_PostGrad",1.092,FALSE,FALSE
"AJ","COM","CPA_Dummy",1.871,FALSE,FALSE
"AJ","COM","COP_COM",4.366,TRUE,FALSE
"AJ","PS","COM",4.806,TRUE,FALSE
"AJ","PS","PS",12.652,TRUE,TRUE
"AJ","PS","MO",2.138,FALSE,FALSE
"AJ","PS","TP",1.479,FALSE,FALSE
"AJ","PS","IT",2.122,FALSE,FALSE
"AJ","PS","CEV",2.8,FALSE,FALSE
"AJ","PS","CG",2.341,FALSE,FALSE
"AJ","PS","Gen_Dummy",1.158,FALSE,FALSE
"AJ","PS","Exp_Ord",3.755,TRUE,FALSE
"AJ","PS","Pos_Ord",4.011,TRUE,FALSE
"AJ","PS","Edu_PostGrad",1.092,FALSE,FALSE
"AJ","PS","CPA_Dummy",1.87,FALSE,FALSE
"AJ","PS","COP_PS",6.711,TRUE,TRUE
