"observation","group"
1,1
2,2
3,1
4,2
5,1
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,2
19,2
20,2
21,1
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,1
40,1
41,1
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,1
61,1
62,1
63,2
64,1
65,2
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,1
81,1
82,2
83,1
84,1
85,1
86,2
87,2
88,1
89,1
90,1
91,2
92,2
93,2
94,2
95,1
96,1
97,2
98,1
99,2
100,2
101,1
102,1
103,2
104,2
105,2
106,1
107,2
108,2
109,1
110,2
111,1
112,1
113,2
114,1
115,2
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,2
130,1
131,2
132,1
133,1
134,2
135,1
136,2
137,1
138,2
139,1
140,2
141,1
142,1
143,2
144,2
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,2
155,2
156,1
157,2
158,1
159,2
160,2
161,1
162,1
163,2
164,1
165,2
166,1
167,1
168,1
169,1
170,1
171,2
172,1
173,2
174,2
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,2
183,1
184,2
185,1
186,1
187,2
188,1
189,2
190,1
191,1
192,2
193,2
194,1
195,1
196,1
197,1
198,1
199,2
200,1
201,1
202,1
203,2
204,2
205,1
206,2
207,2
208,1
209,1
210,1
211,1
212,1
213,2
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,1
247,1
248,1
249,2
250,2
251,2
252,2
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,2
265,1
266,2
267,1
268,2
269,1
270,1
271,1
272,1
273,1
274,1
275,2
276,1
277,1
278,1
279,2
280,2
281,2
282,1
283,2
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,1
293,2
294,1
295,1
296,2
297,1
298,2
299,1
300,1
301,1
302,2
303,1
304,2
305,2
306,1
307,2
308,1
309,2
310,2
311,2
312,2
313,1
314,1
315,2
316,2
317,2
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,1
328,2
329,1
330,1
331,1
332,2
333,1
334,2
335,1
336,1
337,2
338,2
339,2
340,1
341,2
342,2
343,1
344,2
345,2
346,1
347,2
348,1
349,2
350,2
351,1
352,1
353,2
354,1
355,2
356,2
357,2
358,2
359,2
360,2
361,1
362,2
363,2
364,2
365,1
366,2
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,2
386,2
387,1
388,2
389,1
390,1
391,1
392,1
393,1
394,2
395,1
396,2
397,2
398,1
399,1
400,2
