"Pair","Path","Beta_G1","Beta_G2","Diff","p_perm","Diff_CI_lo","Diff_CI_hi","p_adjusted","Sig"
"G1_vs_G2","COM -> AJ",0.0972701181463102,0.348305158016156,-0.251035039869846,0.2176,-0.371368215885144,0.296961339318024,1,""
"G1_vs_G2","PS -> AJ",0.198690326148519,0.115834497833454,0.0828558283150643,0.756,-0.340625544770911,0.386456012109864,1,""
"G1_vs_G2","MO -> AJ",0.0570932417208235,0.0600371234682208,-0.00294388174739731,0.942,-0.202939119365239,0.178777458672306,1,""
"G1_vs_G2","TP -> AJ",0.161030072871364,0.157614525829924,0.00341554704144054,0.9728,-0.215729566514324,0.217227179179453,1,""
"G1_vs_G2","IT -> AJ",0.0938838060969562,0.177527993608261,-0.0836441875113048,0.4856,-0.271046412265296,0.289115670673667,1,""
"G1_vs_G2","CEV -> AJ",0.175001890875538,0.0313606741992236,0.143641216676315,0.456,-0.291718729231266,0.337943326066034,1,""
"G1_vs_G2","CG -> AJ",0.219834034526925,0.175679931488728,0.0441541030381968,0.5284,-0.242658879186579,0.192117909096278,1,""
"G1_vs_G2","AJ -> AQ",0.450770100926353,0.482600860792598,-0.0318307598662447,0.7956,-0.270037348032958,0.265005330480256,1,""
"G1_vs_G2","TC -> AQ",0.0500746686277892,0.0763178411091006,-0.0262431724813114,0.8648,-0.151946277450394,0.128715417811295,1,""
"G1_vs_G2","ETH -> AQ",0.305323585126986,0.435851977062398,-0.130528391935412,0.3216,-0.253762630575448,0.267172857709035,1,""
