"Pair","Construct","c_original","ci_lower_5pct","p_value","decision"
"Group_1_vs_2","COM",0.862470657835924,0.887783157299099,0.0158,"NOT INVARIANT"
"Group_1_vs_2","PS",0.998642639597698,0.999662754437004,4e-04,"NOT INVARIANT"
"Group_1_vs_2","MO",0.845719929664566,0.863504373146179,0.027,"NOT INVARIANT"
"Group_1_vs_2","TP",0.994637665994593,0.992656878398109,0.1004,"INVARIANT"
"Group_1_vs_2","IT",0.999236080955776,0.998600758188535,0.1568,"INVARIANT"
"Group_1_vs_2","CEV",0.999733138519122,0.999001985149853,0.5534,"INVARIANT"
"Group_1_vs_2","CG",0.839597136003046,0.833276280102587,0.0606,"INVARIANT"
"Group_1_vs_2","TC",0.843862723771412,0.784503609130666,0.1514,"INVARIANT"
"Group_1_vs_2","ETH",0.968251000510502,0.97821726930691,0.0104,"NOT INVARIANT"
"Group_1_vs_2","AJ",0.999810638574226,0.999832269580792,0.035,"NOT INVARIANT"
"Group_1_vs_2","AQ",0.978607063721634,0.96626827906785,0.2406,"INVARIANT"
