"Construct","Mean_Diff","Var_Diff","Mean_p","Var_p","Mean_Equal","Var_Equal"
"COM",1.2480737797197,-2.2101490835108,0,0,"NO","NO"
"PS",1.23735531044149,-2.00939385658581,0,0,"NO","NO"
"MO",1.11513273872351,-0.182035777898497,0,0.3728,"NO","YES"
"TP",0.969634386707241,-0.420829283333859,0,0.0292,"NO","NO"
"IT",1.20747136315323,-0.662883596389181,0,0.0048,"NO","NO"
"CEV",1.26192121620446,-1.00801917251388,0,0,"NO","NO"
"CG",1.17698681784109,-0.465324595188559,0,0.0396,"NO","NO"
"TC",0.730543397743027,0.134361859534258,0,0.441,"NO","YES"
"ETH",1.32649646092989,-1.78453269945338,0,0,"NO","NO"
"AJ",1.20796930565676,-0.862931806783174,0,8e-04,"NO","NO"
"AQ",1.25268368683667,-1.19875290308979,0,0,"NO","NO"
