"Path","X","Y","R2_reduced","R2_full","Delta_R2","f2","f2_class"
"COM² → AJ","COM","AJ",0.6302,0.6307,4e-04,0.0011,"Negligible"
"PS² → AJ","PS","AJ",0.6302,0.6308,6e-04,0.0015,"Negligible"
"MO² → AJ","MO","AJ",0.6302,0.6304,1e-04,3e-04,"Negligible"
"TP² → AJ","TP","AJ",0.6302,0.6304,1e-04,3e-04,"Negligible"
"IT² → AJ","IT","AJ",0.6302,0.6305,2e-04,6e-04,"Negligible"
"CEV² → AJ","CEV","AJ",0.6302,0.6303,0,0,"Negligible"
"CG² → AJ","CG","AJ",0.6302,0.6314,0.0011,0.0031,"Negligible"
"AJ² → AQ","AJ","AQ",0.7731,0.7735,4e-04,0.0015,"Negligible"
"TC² → AQ","TC","AQ",0.7731,0.7732,1e-04,4e-04,"Negligible"
"ETH² → AQ","ETH","AQ",0.7731,0.776,0.0028,0.0127,"Negligible"
