"Path","Beta_With_COM6","Beta_Without_COM6","CI_Lo_With","CI_Hi_With","CI_Lo_Without","CI_Hi_Without","Delta_Beta","Sig_With","Sig_Without","Sign_Stable","Sig_Stable","Robust"
"COM  ->  AJ",0.159,0.148,0.036,0.349,0.012,0.346,-0.011,TRUE,TRUE,TRUE,TRUE,TRUE
"PS  ->  AJ",0.249,0.257,0.052,0.391,0.074,0.416,0.008,TRUE,TRUE,TRUE,TRUE,TRUE
"MO  ->  AJ",0.02,0.02,-0.061,0.123,-0.064,0.12,0,FALSE,FALSE,TRUE,TRUE,TRUE
"TP  ->  AJ",0.146,0.145,0.047,0.241,0.045,0.246,-0.001,TRUE,TRUE,TRUE,TRUE,TRUE
"IT  ->  AJ",0.124,0.124,-0.015,0.246,-0.015,0.245,0,FALSE,FALSE,TRUE,TRUE,TRUE
"CEV  ->  AJ",0.153,0.154,-0.022,0.277,-0.014,0.282,0.001,FALSE,FALSE,TRUE,TRUE,TRUE
"CG  ->  AJ",0.16,0.163,0.077,0.288,0.075,0.285,0.003,TRUE,TRUE,TRUE,TRUE,TRUE
"AJ  ->  AQ",0.486,0.486,0.358,0.622,0.358,0.616,0,TRUE,TRUE,TRUE,TRUE,TRUE
"TC  ->  AQ",0.019,0.019,-0.035,0.102,-0.039,0.095,0,FALSE,FALSE,TRUE,TRUE,TRUE
"ETH  ->  AQ",0.444,0.444,0.316,0.557,0.316,0.561,0,TRUE,TRUE,TRUE,TRUE,TRUE
