"Path","Beta_Pre","Beta_Post","T_Pre","T_Post","Sig_Pre","Sig_Post","Sign_Stable","Sig_Stable"
"COM  ->  AJ",0.151,0.148,1.768,1.684,FALSE,FALSE,TRUE,TRUE
"PS  ->  AJ",0.262,0.257,2.934,2.885,TRUE,TRUE,TRUE,TRUE
"MO  ->  AJ",0.014,0.02,0.319,0.418,FALSE,FALSE,TRUE,TRUE
"TP  ->  AJ",0.148,0.145,2.855,2.742,TRUE,TRUE,TRUE,TRUE
"IT  ->  AJ",0.122,0.124,1.914,1.894,FALSE,FALSE,TRUE,TRUE
"CEV  ->  AJ",0.156,0.154,2.012,2.031,TRUE,TRUE,TRUE,TRUE
"CG  ->  AJ",0.159,0.163,3.036,3.097,TRUE,TRUE,TRUE,TRUE
"AJ  ->  AQ",0.492,0.486,7.385,7.381,TRUE,TRUE,TRUE,TRUE
"TC  ->  AQ",0.022,0.019,0.688,0.575,FALSE,FALSE,TRUE,TRUE
"ETH  ->  AQ",0.446,0.444,7.218,7.238,TRUE,TRUE,TRUE,TRUE
