"Path","Beta_Baseline","P_Value_Baseline","Sig_Primary_Baseline","Beta_NoCOM6","P_Value_NoCOM6","Sig_Primary_NoCOM6","Delta_Beta","Sig_Flip"
"AJ  ->  AQ",0.486,4e-04,TRUE,0.486,4e-04,TRUE,0,FALSE
"CC  ->  AJ",0.154,0.0744,FALSE,0.154,0.0744,FALSE,0,FALSE
"CG  ->  AJ",0.163,4e-04,TRUE,0.163,4e-04,TRUE,0,FALSE
"COM  ->  AJ",0.148,0.0356,TRUE,0.148,0.0356,TRUE,0,FALSE
"ETH  ->  AQ",0.444,4e-04,TRUE,0.444,4e-04,TRUE,0,FALSE
"IT  ->  AJ",0.124,0.0784,FALSE,0.124,0.0784,FALSE,0,FALSE
"MO  ->  AJ",0.02,0.5783,FALSE,0.02,0.5783,FALSE,0,FALSE
"PS  ->  AJ",0.257,0.004,TRUE,0.257,0.004,TRUE,0,FALSE
"TC  ->  AQ",0.019,0.4023,FALSE,0.019,0.4023,FALSE,0,FALSE
"TP  ->  AJ",0.145,0.0068,TRUE,0.145,0.0068,TRUE,0,FALSE
