"Beta","Boot_Mean","Boot_SE","T_Stat","CI_Low","CI_High","Path","P_Value","Sig_Primary","T_Sig","P_Sig","Mismatch","Notes","Significant"
0.148,0.178697132368556,0.086,1.725,0.012,0.346,"COM  ->  AJ",0.0356,TRUE,FALSE,TRUE,TRUE,"CI vs t/p mismatch; CI used for decision",TRUE
0.257,0.240326451791781,0.088,2.913,0.074,0.416,"PS  ->  AJ",0.004,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.02,0.0260742779151426,0.047,0.423,-0.064,0.12,"MO  ->  AJ",0.5783,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.145,0.143989454545595,0.051,2.833,0.045,0.246,"TP  ->  AJ",0.0068,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.124,0.112356805666148,0.065,1.901,-0.015,0.245,"IT  ->  AJ",0.0784,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.154,0.138017754438677,0.075,2.051,-0.014,0.282,"CC  ->  AJ",0.0744,FALSE,TRUE,FALSE,TRUE,"CI vs t/p mismatch; CI used for decision",FALSE
0.163,0.178254950290481,0.054,3.038,0.075,0.285,"CG  ->  AJ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.486,0.482588318136763,0.066,7.34,0.358,0.616,"AJ  ->  AQ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
0.019,0.0288184769395736,0.034,0.567,-0.039,0.095,"TC  ->  AQ",0.4023,FALSE,FALSE,FALSE,FALSE,"",FALSE
0.444,0.443045164937454,0.062,7.139,0.316,0.561,"ETH  ->  AQ",4e-04,TRUE,TRUE,TRUE,FALSE,"",TRUE
