"Responder ID","Time","flag_duplicate","duplicate_group_id"
"2_ABaOnucyA0OfArirpwozcUbgBq7a2pCXGekPb74X2dZh1hSRz6_dRw-IaSVecI-U1Q","2025-11-05 10:49:07.17",FALSE,NA
"2_ABaOnufn_N38SITZCrLWScnITcXthmzx-Y4ddsBdIC1ULBtgD1jeqnjEZfL6gnX0eQ","2025-11-05 10:57:10.522",FALSE,NA
"2_ABaOnuezf9brWEWKpeOpOwob8vUTak-hcbN7soiM220x67FnztNYbQTz9GB2ljXzlw","2025-11-05 11:00:55.49",FALSE,NA
"2_ABaOnuei91-2GcOZTHhaoGWKhwZj_y-mPzugCYXIvb-PgRrNAHkUDWAdDjzIXXv_cg","2025-11-05 11:08:59.577",FALSE,NA
"2_ABaOnucGK-jgVzLJQ9jtJxrX2D9DxT5CIalnRxlYdkIpqyQO2b7wFv4pY-yeazHvQg","2025-11-05 11:11:04.404",FALSE,NA
"2_ABaOnufTsD36kd5aEcPnkbYSlZmnQXV4XsPShZHzoWt5YlVoPeji_Q0Vh9c1NOZlyQ","2025-11-05 11:14:09.32",FALSE,NA
"2_ABaOnucnhpF1D0gs7rgu_rtMnRVpUAV049-DyjtW65TSaEAQfoNB0VlpfLI_E_nmFw","2025-11-05 11:23:49.324",FALSE,NA
"2_ABaOnufaMcfhspG98R1ShQx10pKMmq_t4SnRxEO9U0HdGVObWv-qbsOEXB90mSbseQ","2025-11-05 11:24:46.881",FALSE,NA
"2_ABaOnufnGHzWy-WgRsr1bwfmKUfwiPkNEqFwHyFH5E2Fh4AAXCft77vRcldCtGbGgg","2025-11-05 11:27:56.059",FALSE,NA
"2_ABaOnueuG_XkuyjUrCy9crcBgsdlA_zfSb8RofXEYkQPzgKtMh3XkXvaxJ36LaXRhQ","2025-11-05 11:29:53.335",FALSE,NA
"2_ABaOnud90VqlzXlN8NANERrsJNNLG6PN-iCD1EY1ycIGhmabAXVVxuVYCJ3IoB5xrQ","2025-11-05 11:39:13.132",FALSE,NA
"2_ABaOnucXl57VKypm1DowSxvPh9ZI5SQ7A01mNmKCr_FjOQX1uRioEEA-X0g49y_pXA","2025-11-05 11:39:42.389",FALSE,NA
"2_ABaOnudJJtmIx6_aqG2bf2g2R6KQHTP5c0Q6ytMCqhP92djMFqHi8S_8gvGGRLmy1A","2025-11-05 11:40:11.174",FALSE,NA
"2_ABaOnucwXvipOj1Glas4MnGOtOX4BB1cDoDvUa_kuGVUMUVxgZON1sJhWhDc_DIHuA","2025-11-05 11:41:46.348",FALSE,NA
"2_ABaOnuf8umykjX3xKyCdEvfO9mdjI3kFPlRIXL6oX_W6zvPuVplXB4f4wQYlOBKgXg","2025-11-05 11:42:09.176",FALSE,NA
"2_ABaOnueTmIvQgiczgKIimUWGVsZXjQ_rmP4xYtdvyPeUuAmgho-sL5t96YeQtL0UhA","2025-11-05 11:45:17.893",FALSE,NA
"2_ABaOnue-W7z73JeXe-cl8xw4JtbJ_mEOZP3t4QhU2hdFfeLirWhum17UDIxe6a9dfQ","2025-11-05 12:00:39.116",FALSE,NA
"2_ABaOnueudbFrT36reFmevD8yYmGeTIv_IfTX4oOFzjndbFn_A6EPKb00Ts0d2yJbvQ","2025-11-05 12:07:14.77",FALSE,NA
"2_ABaOnuflwNU-EqHZ8BJhsXiGQ3tfyg9C8gUBN2crITwH_K4TYOBU6OO3evbuGPhlJg","2025-11-05 12:34:23.161",FALSE,NA
"2_ABaOnufEhDHb2ceq2XJ8ii8pdRgPgTTEpGYinfti4oxhhCQbBbKVOADaYPZPvFzvvQ","2025-11-05 13:42:24.58",FALSE,NA
"2_ABaOnudS7zXGIT8zwEQUNobK7FHC_CedHTkhZUMWD3TesoAdkcRj74nDfrLBour7Pw","2025-11-05 14:48:17.913",FALSE,NA
"2_ABaOnucbFrEY5SVX0suAsNypzBkQ0vNUKltfFnT7OZhJ9QR2q8lugF22mfEbkgsaQQ","2025-11-05 15:53:21.98",FALSE,NA
"2_ABaOnudXyJQeH9669Q5fgWEJ5zoCxb1J7GHc7xCPWvGUHFIL00Dvmxeygmv65N6QXg","2025-11-05 16:51:19.063",FALSE,NA
"2_ABaOnufBJySDSod0ZzuK-Td5iFiJdo-tV0USCtMbJJjl6hh53eWLru7aW5XNS1oxjg","2025-11-05 16:54:31.187",FALSE,NA
"2_ABaOnudrOLv1zMWukse6gqnPCQ0MjWuW4RP9JcYjPPpqPTkglFC43ISmdVhyVU-fRQ","2025-11-05 17:05:29.194",FALSE,NA
"2_ABaOnufUsI6rl_9AzOMVJGGmEW_Dvx0DW6kDWlM10D7SQiUtx0YR9flLTP9WSFkmMA","2025-11-05 17:07:38.545",FALSE,NA
"2_ABaOnufDWZbeYqUhTqfMpV6burq0NC_TFYG1TgTt-DanLFogPsZQ97s5mSWuscZRdA","2025-11-05 17:09:03.917",FALSE,NA
"2_ABaOnud_4trULQTJ8HjOMUhbKZiqOb2QAZqz4J6h4teCbY2hMR2nGElNsRVeVQY2QQ","2025-11-05 17:10:47.935",FALSE,NA
"2_ABaOnucLy0-NZMTB0BgSbySRDhLcAOu0a4ujjz-pp8yeJ05qpKWqJyocpJVyrpaPEA","2025-11-05 17:11:41.304",FALSE,NA
